line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr     10^53 g cm2/s

  1  0.401597409442920E+06    6.999998  3.220316  4.332096  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2954  4.332096  -11.438  1.214763  7.489087  0.7168305E+00  0.2688608E+00  2.3272513E-05  6.2440732E-06  3.8116477E-03  5.1394295E-03  3.3568661E-05  2.5138079E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.006273  0.0000000E+00  0.0000000000E+00
  2  0.135593811683630E+07    6.999995  3.222236  4.328320  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2983  4.328320  -11.432  1.198695  7.484792  0.7087031E+00  0.2771343E+00  2.8975468E-05  7.7726901E-06  4.8166784E-03  3.9865307E-03  2.8032154E-05  2.0204984E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.006301  0.0000000E+00  0.0000000000E+00
  3  0.231027882422969E+07    6.999991  3.225934  4.326038  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2956  4.326038  -11.419  1.189736  7.482652  0.7004440E+00  0.2854909E+00  3.2763367E-05  8.7879556E-06  5.4870621E-03  3.2182887E-03  2.3545710E-05  1.6635510E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.006355  0.0000000E+00  0.0000000000E+00
  4  0.321567898252597E+07    6.999988  3.229981  4.324511  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2933  4.324511  -11.403  1.184201  7.481699  0.6924633E+00  0.2935404E+00  3.5457913E-05  9.5102767E-06  5.9594144E-03  2.6773380E-03  1.9964654E-05  1.3972886E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.006414  0.0000000E+00  0.0000000000E+00
  5  0.411863211336740E+07    6.999984  3.234307  4.323259  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2908  4.323259  -11.387  1.180139  7.481118  0.6843784E+00  0.3016789E+00  3.7573332E-05  1.0077430E-05  6.3277486E-03  2.2556375E-03  1.7013452E-05  1.1840946E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.006478  0.0000000E+00  0.0000000000E+00
  6  0.502158524420882E+07    6.999980  3.238596  4.322116  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2880  4.322116  -11.370  1.176759  7.480712  0.6761568E+00  0.3099436E+00  3.9280897E-05  1.0535251E-05  6.6239303E-03  1.9166048E-03  1.4563372E-05  1.0099629E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.006543  0.0000000E+00  0.0000000000E+00
  7  0.588049188086286E+07    6.999977  3.242995  4.321212  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2857  4.321212  -11.353  1.174464  7.480694  0.6682001E+00  0.3179342E+00  4.0653303E-05  1.0903371E-05  6.8557283E-03  1.6513003E-03  1.2550736E-05  8.7029532E-09  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.006609  0.0000000E+00  0.0000000000E+00
  8  0.673939851751691E+07    6.999973  3.247321  4.320357  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2830  4.320357  -11.336  1.172445  7.480831  0.6601168E+00  0.3260457E+00  4.1820532E-05  1.1216531E-05  7.0493771E-03  1.4296567E-03  1.0835639E-05  7.5240937E-09  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.006675  0.0000000E+00  0.0000000000E+00
