line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr     10^53 g cm2/s

  1  0.117777499809661E+06   14.998921  4.266387  4.501169  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4051  4.501169   -8.047  0.871717  7.556603  0.7168850E+00  0.2688134E+00  2.5500658E-05  6.9343015E-06  3.8855094E-03  5.0635704E-03  2.0800382E-05  1.7000508E-08  1.8762879E-03  3.9712546E-05  2.422E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.032552  0.0000000E+00  0.0000000000E+00
  2  0.365913946850963E+06   14.996683  4.270380  4.497269  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4032  4.497269   -8.043  0.853186  7.551216  0.7085631E+00  0.2772971E+00  3.2394465E-05  8.8050203E-06  5.0118292E-03  3.7691257E-03  1.6298822E-05  1.2941175E-08  1.8748525E-03  1.7131481E-06  6.957E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.032858  0.0000000E+00  0.0000000000E+00
  3  0.608142383248425E+06   14.994474  4.274727  4.495084  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4008  4.495084   -8.037  0.843542  7.548764  0.7004459E+00  0.2855161E+00  3.6732754E-05  9.9842492E-06  5.7131275E-03  2.9635327E-03  1.2965163E-05  1.0212241E-08  1.8736997E-03  1.1643023E-07  9.224E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.033193  0.0000000E+00  0.0000000000E+00
  4  0.850370819645887E+06   14.992232  4.279226  4.493543  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3979  4.493543   -8.030  0.837282  7.547454  0.6922371E+00  0.2937980E+00  3.9865682E-05  1.0837102E-05  6.2170843E-03  2.3846781E-03  1.0488355E-05  8.2313514E-09  1.8726553E-03  1.6391912E-08  1.040E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.033544  0.0000000E+00  0.0000000000E+00
  5  0.108669124539951E+07   14.990007  4.283906  4.492376  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3954  4.492376   -8.022  0.833111  7.546797  0.6841295E+00  0.3019597E+00  4.2220067E-05  1.1476685E-05  6.5896658E-03  1.9566963E-03  8.6205520E-06  6.7599798E-09  1.8716958E-03  9.5765039E-09  1.093E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.033913  0.0000000E+00  0.0000000000E+00
  6  0.132301167115313E+07   14.987742  4.288639  4.491401  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3930  4.491401   -8.015  0.830053  7.546518  0.6759144E+00  0.3102172E+00  4.4088561E-05  1.1984127E-05  6.8813592E-03  1.6216047E-03  7.1407706E-06  5.6033201E-09  1.8707715E-03  9.6172055E-09  1.107E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.034289  0.0000000E+00  0.0000000000E+00
  7  0.155342408626291E+07   14.985493  4.293328  4.490571  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3901  4.490571   -8.007  0.827762  7.546498  0.6677546E+00  0.3184102E+00  4.5572586E-05  1.2388500E-05  7.1097519E-03  1.3592031E-03  5.9734083E-06  4.6948224E-09  1.8698867E-03  1.0340019E-08  1.099E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.034667  0.0000000E+00  0.0000000000E+00
  8  0.178383650137269E+07   14.983201  4.298199  4.489828  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3875  4.489828   -7.998  0.826116  7.546673  0.6594673E+00  0.3267244E+00  4.6815055E-05  1.2725564E-05  7.2951424E-03  1.1461500E-03  5.0213389E-06  3.9569147E-09  1.8690122E-03  1.1229710E-08  1.076E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.035063  0.0000000E+00  0.0000000000E+00
