line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr     10^53 g cm2/s

  1  0.914977402225570E+07    2.000000  1.208899  3.972774  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.1650  3.972774    0.000  1.863773  7.335663  0.7168510E+00  0.2687599E+00  1.2070804E-05  3.1926634E-06  3.3522773E-03  5.5945311E-03  1.2767825E-04  3.8316964E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000214  0.0000000E+00  0.0000000000E+00
  2  0.310109984521369E+08    2.000000  1.210546  3.972384  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.1706  3.972384    0.000  1.864069  7.337365  0.7085636E+00  0.2770454E+00  1.2538631E-05  3.3169379E-06  3.4564091E-03  5.2002513E-03  4.1924429E-04  1.2563192E-07  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000215  0.0000000E+00  0.0000000000E+00
  3  0.510126581483560E+08    2.000000  1.213109  3.971558  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.1705  3.971558    0.000  1.863773  7.337944  0.7007503E+00  0.2848754E+00  1.3219114E-05  3.4971459E-06  3.6333784E-03  4.8535211E-03  5.7150605E-04  1.7170600E-07  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000216  0.0000000E+00  0.0000000000E+00
  4  0.719667778301094E+08    2.000000  1.215738  3.970495  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.1698  3.970495    0.000  1.863111  7.338342  0.6924134E+00  0.2932412E+00  1.4083185E-05  3.7258855E-06  3.8644912E-03  4.5143361E-03  6.4970135E-04  1.9548832E-07  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000217  0.0000000E+00  0.0000000000E+00
  5  0.917779455292218E+08    2.000000  1.218360  3.969462  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.1700  3.969462    0.000  1.862342  7.338687  0.6844131E+00  0.3012742E+00  1.4962346E-05  3.9586093E-06  4.1013277E-03  4.2176559E-03  6.7577326E-04  2.0355438E-07  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000219  0.0000000E+00  0.0000000000E+00
  6  0.110636653242800E+09    2.000000  1.221141  3.968495  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.1695  3.968495    0.000  1.861836  7.339019  0.6767006E+00  0.3090199E+00  1.5811372E-05  4.1833823E-06  4.3301066E-03  3.9560509E-03  6.7442322E-04  2.0334648E-07  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000220  0.0000000E+00  0.0000000000E+00
  7  0.130352574943359E+09    2.000000  1.223930  3.967461  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.1693  3.967461    0.000  1.861480  7.339446  0.6685103E+00  0.3172455E+00  1.6698389E-05  4.4182803E-06  4.5665037E-03  3.7013180E-03  6.5645831E-04  1.9817542E-07  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000221  0.0000000E+00  0.0000000000E+00
  8  0.149211282656937E+09    2.000000  1.226579  3.966441  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.1688  3.966441    0.000  1.861020  7.339866  0.6605010E+00  0.3252885E+00  1.7527576E-05  4.6378783E-06  4.7877722E-03  3.4722877E-03  6.2965978E-04  1.9030562E-07  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000223  0.0000000E+00  0.0000000000E+00
