line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr     10^53 g cm2/s

  1  0.597345415896223E+05   24.995360  4.865990  4.588704  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.5166  4.588704   -7.112  0.680071  7.591619  0.7169032E+00  0.2688033E+00  2.9251985E-05  7.9894587E-06  3.9219050E-03  5.0212035E-03  1.4924924E-05  1.5806059E-08  1.8761196E-03  6.0680440E-05  3.040E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.077694  0.0000000E+00  0.0000000000E+00
  2  0.191682054346663E+06   24.985112  4.870055  4.584823  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.5137  4.584823   -7.107  0.661661  7.586150  0.7085103E+00  0.2773679E+00  3.7630922E-05  1.0274908E-05  5.1194231E-03  3.6421676E-03  1.1192466E-05  1.1610381E-08  1.8742767E-03  6.4502194E-06  9.208E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.078457  0.0000000E+00  0.0000000000E+00
  3  0.323629567103705E+06   24.974730  4.874409  4.582630  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.5110  4.582630   -7.101  0.652321  7.583694  0.7001590E+00  0.2858262E+00  4.2814711E-05  1.1689281E-05  5.8573463E-03  2.7925301E-03  8.6766373E-06  8.9326674E-09  1.8727868E-03  9.3745480E-07  1.284E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.079280  0.0000000E+00  0.0000000000E+00
  4  0.452989873728255E+06   24.964377  4.878685  4.581116  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.5077  4.581116   -7.093  0.646562  7.582429  0.6919093E+00  0.2941495E+00  4.6400142E-05  1.2667604E-05  6.3640742E-03  2.2090941E-03  6.8975638E-06  7.0784745E-09  1.8714711E-03  2.2078207E-07  1.511E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.080098  0.0000000E+00  0.0000000000E+00
  5  0.582350180352805E+06   24.953828  4.883210  4.579900  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.5048  4.579900   -7.085  0.642705  7.581781  0.6835551E+00  0.3025586E+00  4.9098614E-05  1.3404389E-05  6.7410775E-03  1.7749891E-03  5.5514091E-06  5.6917893E-09  1.8702312E-03  1.1482127E-07  1.657E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.080971  0.0000000E+00  0.0000000000E+00
  6  0.709123280844864E+06   24.943286  4.887739  4.578875  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.5021  4.578875   -7.076  0.640038  7.581518  0.6752623E+00  0.3108926E+00  5.1164563E-05  1.3968163E-05  7.0248967E-03  1.4481350E-03  4.5274664E-06  4.6446638E-09  1.8690600E-03  1.0339918E-07  1.744E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.081854  0.0000000E+00  0.0000000000E+00
  7  0.833309175204432E+06   24.932752  4.892178  4.577972  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4994  4.577972   -7.067  0.638116  7.581499  0.6670296E+00  0.3191571E+00  5.2784215E-05  1.4410648E-05  7.2436418E-03  1.1961801E-03  3.7335506E-06  3.8357334E-09  1.8679374E-03  1.0816775E-07  1.792E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.082730  0.0000000E+00  0.0000000000E+00
  8  0.957106988644127E+06   24.922034  4.896650  4.577139  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4962  4.577139   -7.058  0.636687  7.581649  0.6586815E+00  0.3275305E+00  5.4128314E-05  1.4777901E-05  7.4183342E-03  9.9488684E-04  3.0939509E-06  3.1880749E-09  1.8668277E-03  1.1689400E-07  1.812E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.083622  0.0000000E+00  0.0000000000E+00
