line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr     10^53 g cm2/s

  9  0.321437504515355E+09    1.500000  0.699586  3.858103  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.0689  3.858103    0.000  1.967295  7.275575  0.6527287E+00  0.3328624E+00  9.7883236E-06  2.5774362E-06  3.4480564E-03  5.0249763E-03  6.2043863E-04  1.6951158E-07  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000088  0.0000000E+00  0.0000000000E+00
 10  0.357661310291595E+09    1.500000  0.702690  3.858127  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.0690  3.858127    0.000  1.971189  7.277122  0.6445915E+00  0.3410007E+00  9.9477532E-06  2.6196105E-06  3.4806466E-03  4.9247367E-03  6.8706998E-04  1.8813469E-07  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000089  0.0000000E+00  0.0000000000E+00
 11  0.390921350140689E+09    1.500000  0.705536  3.858128  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.0691  3.858128    0.000  1.974765  7.278549  0.6370260E+00  0.3485682E+00  1.0112000E-05  2.6630458E-06  3.5160223E-03  4.8290738E-03  7.4544961E-04  2.0453456E-07  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000089  0.0000000E+00  0.0000000000E+00
 12  0.426486541266453E+09    1.500000  0.708545  3.858089  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.0692  3.858089    0.000  1.978593  7.280078  0.6288350E+00  0.3567624E+00  1.0307824E-05  2.7148275E-06  3.5600739E-03  4.7230036E-03  8.0429606E-04  2.2114018E-07  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000090  0.0000000E+00  0.0000000000E+00
 13  0.462051732392216E+09    1.500000  0.711576  3.858043  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.0694  3.858043    0.000  1.982431  7.281621  0.6205348E+00  0.3650671E+00  1.0527222E-05  2.7728472E-06  3.6110367E-03  4.6130807E-03  8.5880304E-04  2.3659144E-07  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000091  0.0000000E+00  0.0000000000E+00
 14  0.494653157590833E+09    1.500000  0.714338  3.857973  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.0696  3.857973    0.000  1.985936  7.283037  0.6128264E+00  0.3727808E+00  1.0749572E-05  2.8316362E-06  3.6641946E-03  4.5089974E-03  9.0443718E-04  2.4960985E-07  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000091  0.0000000E+00  0.0000000000E+00
 15  0.528440089160308E+09    1.500000  0.717172  3.857872  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.0701  3.857872    0.000  1.989452  7.284498  0.6049197E+00  0.3806941E+00  1.0992747E-05  2.8959226E-06  3.7239170E-03  4.4025926E-03  9.4453129E-04  2.6113010E-07  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000092  0.0000000E+00  0.0000000000E+00
 16  0.563116150507928E+09    1.500000  0.720066  3.857743  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.0708  3.857743    0.000  1.992988  7.285994  0.5968522E+00  0.3887694E+00  1.1260796E-05  2.9667929E-06  3.7905241E-03  4.2939886E-03  9.7855953E-04  2.7099033E-07  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000093  0.0000000E+00  0.0000000000E+00
 17  0.597792211855547E+09    1.500000  0.722902  3.857566  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.0715  3.857566    0.000  1.996371  7.287468  0.5889886E+00  0.3966419E+00  1.1541012E-05  3.0408901E-06  3.8605959E-03  4.1900550E-03  1.0033991E-03  2.7831869E-07  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000093  0.0000000E+00  0.0000000000E+00
 18  0.632468273203166E+09    1.500000  0.725746  3.857364  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.0721  3.857364    0.000  1.999879  7.288967  0.5806562E+00  0.4049848E+00  1.1858403E-05  3.1247995E-06  3.9413676E-03  4.0742635E-03  1.0277792E-03  2.8555446E-07  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000094  0.0000000E+00  0.0000000000E+00
