line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr     10^53 g cm2/s

  1  0.249435367560152E+06    8.999972  3.584321  4.391638  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3229  4.391638   -9.993  1.090494  7.511115  0.7169311E+00  0.2687647E+00  2.5159336E-05  6.7582928E-06  3.8345407E-03  5.1181136E-03  2.5075809E-05  2.2308028E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.011281  0.0000000E+00  0.0000000000E+00
  2  0.869312514055333E+06    8.999910  3.586774  4.387695  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3260  4.387695   -9.993  1.072768  7.506257  0.7087182E+00  0.2771328E+00  3.1642986E-05  8.4979743E-06  4.9009047E-03  3.8932280E-03  2.0166093E-05  1.7318935E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.011345  0.0000000E+00  0.0000000000E+00
  3  0.147537624224421E+07    8.999847  3.590867  4.385444  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3241  4.385444   -9.984  1.063361  7.503943  0.7005503E+00  0.2854002E+00  3.5783120E-05  9.6087939E-06  5.5844190E-03  3.1085735E-03  1.6549518E-05  1.3973245E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.011452  0.0000000E+00  0.0000000000E+00
  4  0.206589987483850E+07    8.999785  3.595093  4.383872  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3210  4.383872   -9.974  1.057235  7.502739  0.6924812E+00  0.2935401E+00  3.8741793E-05  1.0402705E-05  6.0702651E-03  2.5509946E-03  1.3782496E-05  1.1532977E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.011564  0.0000000E+00  0.0000000000E+00
  5  0.265642350743280E+07    8.999722  3.599713  4.382653  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3186  4.382653   -9.961  1.052952  7.502113  0.6842531E+00  0.3018229E+00  4.1055639E-05  1.1023709E-05  6.4459767E-03  2.1198655E-03  1.1539210E-05  9.6115640E-09  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.011688  0.0000000E+00  0.0000000000E+00
  6  0.323140704443251E+07    8.999658  3.604368  4.381654  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3163  4.381654   -9.948  1.049845  7.501862  0.6761140E+00  0.3100044E+00  4.2872576E-05  1.1511476E-05  6.7366492E-03  1.7863228E-03  9.7517307E-06  8.1081012E-09  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.011814  0.0000000E+00  0.0000000000E+00
  7  0.380639058143222E+07    8.999592  3.608979  4.380754  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3131  4.380754   -9.935  1.047301  7.501851  0.6678249E+00  0.3183280E+00  4.4374838E-05  1.1914873E-05  6.9730412E-03  1.5150508E-03  8.2707318E-06  6.8765727E-09  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.011940  0.0000000E+00  0.0000000000E+00
  8  0.435029392724276E+07    8.999528  3.613619  4.380000  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3109  4.380000   -9.921  1.045548  7.502020  0.6598226E+00  0.3263572E+00  4.5579582E-05  1.2238505E-05  7.1583139E-03  1.3024100E-03  7.0943180E-06  5.9062412E-09  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.012069  0.0000000E+00  0.0000000000E+00
