line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr     10^53 g cm2/s

  1  0.833150100617788E+06    5.000000  2.712744  4.247069  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2688  4.247069    0.000  1.394680  7.456763  0.7169128E+00  0.2687610E+00  2.0328839E-05  5.4448204E-06  3.7129105E-03  5.2278906E-03  6.4679488E-05  3.5485651E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.002729  0.0000000E+00  0.0000000000E+00
  2  0.286124645520146E+07    5.000000  2.713609  4.243111  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2716  4.243111    0.000  1.379476  7.452528  0.7087308E+00  0.2770775E+00  2.5038471E-05  6.7047650E-06  4.6383412E-03  4.1702809E-03  5.6315847E-05  2.9758775E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.002735  0.0000000E+00  0.0000000000E+00
  3  0.477971597980763E+07    5.000000  2.716749  4.240806  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2696  4.240806    0.000  1.371344  7.450537  0.7008539E+00  0.2850432E+00  2.8143217E-05  7.5353479E-06  5.2485405E-03  3.4747651E-03  4.8849850E-05  2.5364481E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.002754  0.0000000E+00  0.0000000000E+00
  4  0.669818550441380E+07    5.000000  2.720251  4.239078  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2670  4.239078    0.000  1.365673  7.449495  0.6928398E+00  0.2931253E+00  3.0533491E-05  8.1748592E-06  5.7150701E-03  2.9437940E-03  4.2276048E-05  2.1751163E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.002777  0.0000000E+00  0.0000000000E+00
  5  0.857280429702896E+07    5.000000  2.724138  4.237691  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2648  4.237691    0.000  1.361688  7.448880  0.6848730E+00  0.3011452E+00  3.2412430E-05  8.6776542E-06  6.0791447E-03  2.5297503E-03  3.6781592E-05  1.8824026E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.002802  0.0000000E+00  0.0000000000E+00
  6  0.104474230896441E+08    5.000000  2.728028  4.236466  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2622  4.236466    0.000  1.358431  7.448583  0.6767746E+00  0.3092872E+00  3.3969653E-05  9.0944327E-06  6.3778943E-03  2.1901938E-03  3.2037060E-05  1.6353674E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.002827  0.0000000E+00  0.0000000000E+00
  7  0.122727098087694E+08    5.000000  2.732159  4.235427  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2600  4.235427    0.000  1.356099  7.448522  0.6687397E+00  0.3173577E+00  3.5260761E-05  9.4400992E-06  6.6217031E-03  1.9131861E-03  2.8019322E-05  1.4295586E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.002854  0.0000000E+00  0.0000000000E+00
  8  0.140486644544048E+08    5.000000  2.736075  4.234430  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2576  4.234430    0.000  1.353997  7.448523  0.6608155E+00  0.3253113E+00  3.6331017E-05  9.7266671E-06  6.8226100E-03  1.6849460E-03  2.4671835E-05  1.2588948E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.002880  0.0000000E+00  0.0000000000E+00
